スプシ名,スプシURL,出典スプシ名
【1日1回】本能が告げている 危険だと,https://docs.google.com/spreadsheets/d/1jDHRT1GvOA-K4WUhru1CV7Ukn63owsYJXFbbr6IB8eo/edit?gid=0#gid=0,【データQA】【クエスト】【1日1回】本能が告げている 危険だと
20260116_地獄楽 いいジャン祭_仕様書,https://docs.google.com/spreadsheets/d/1UzjTg1JnhhuZ_yq2nGf1sygSgkRX_2FPFCLiSJ2bdDo/edit?gid=289913871#gid=289913871,【データQA】【クエスト】【1日1回】本能が告げている 危険だと
GLOW_ID 管理,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=1994449604#gid=1994449604,【データQA】【アイテム】各種アイテム
【ストーリー】必ず生きて帰る,https://docs.google.com/spreadsheets/d/1ggoPgNmLK2XbZwVcrSxLHsHLvfWTcCEGT7YcSQ0I3Nc/edit?gid=0#gid=0,【データQA】【クエスト】必ず生きて帰る
ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,https://docs.google.com/spreadsheets/d/1simCQA1Q-u_JTJ0087RIup8W4CO8e74PhSZ91C3JlU8/edit?gid=523149893#gid=523149893,【データQA】【キャラ】賊王 亜左 弔兵衛
GLOW_キャラ名称＆キャラセリフ資料,https://docs.google.com/spreadsheets/d/1IkiS0rrzjKzg8ddE1n44RBj_Mg3ZABH1D_62pIGQTJg/edit?gid=2146475190#gid=2146475190,【データQA】【キャラ】賊王 亜左 弔兵衛
ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,https://docs.google.com/spreadsheets/d/1xIsnqSz-8qxSbxPlMTyrkNz672jXKZ57aSEu5De5DTM/edit?gid=523149893#gid=523149893,【データQA】【キャラ】民谷 巌鉄斎
【チャレンジ】死罪人と首切り役人設計,https://docs.google.com/spreadsheets/d/12sb_6R3h9K0TLOcUEwhvDIx20aNfKLf-L_AjuRuwwQE/edit?gid=0#gid=0,【データQA】【クエスト】【チャレンジ】死罪人と首切り役人
【高難度】手負いの獣は恐ろしいぞ,https://docs.google.com/spreadsheets/d/1UBJUaoJ-z_vCqTMeUy-ddnLOY1xc_TqPt-X-TB8YgB8/edit?gid=0#gid=0,【データQA】【クエスト】【高難度】手負いの獣は恐ろしいぞ
【ストーリー】先輩は敬いたまえ,https://docs.google.com/spreadsheets/d/1vjGG-juQPgbdcJD-6N8B29sP8O1L4BZupnQKgY00yTU/edit?gid=0#gid=0,【データQA】【クエスト】朱印の者たち
GLOW_ランクマッチ開催仕様書,https://docs.google.com/spreadsheets/d/1gYB716eQa_G74FQ8IsioheGd0lwlHlRb4wsBvL2hPsM/edit?gid=695425483#gid=695425483,【データQA】【ランクマッチ】地獄楽ランクマ1週目
【降臨バトル】まるで 悪夢を見ているようだ_地獄楽,https://docs.google.com/spreadsheets/d/1k60vxX9jRXryJpxS8a_5Ech668eJL0kAe4cwL2TFFmM/edit?gid=0#gid=0,【データQA】【降臨バトル】まるで 悪夢を見ているようだ
正月特別号！【推しの子】 いいジャン祭＋メインクエスト_仕様書,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1959891932#gid=1959891932,【データQA】【降臨バトル】まるで 悪夢を見ているようだ
ヒーロー基礎設計_chara_jig_00701_メイ,https://docs.google.com/spreadsheets/d/12gVpClJYk2RNb2UXQCUgZAxWBV2_EHeyRDMPWKRgOac/edit?gid=523149893#gid=523149893,【データQA】【SPキャラ】メイ
ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,https://docs.google.com/spreadsheets/d/1BXzo-jLxVjuyyBaUvqjHaCo9KrH2X41q953xNRKEjhw/edit?gid=523149893#gid=523149893,【データQA】【キャラ】山田浅ェ門 桐馬
