ENABLE,id,product_id_ios,product_id_android,product_id_webstore,release_key
e,69,BNEI0434_0067,com.bandainamcoent.jumble_0067,,202602020
e,70,BNEI0434_0068,com.bandainamcoent.jumble_0068,,202602020
e,78,BNEI0434_0076,com.bandainamcoent.jumble_0076,,202602020
e,87,BNEI0434_0085,com.bandainamcoent.jumble_0085,,202602020
e,bnei0434_webstore_00001,,,bnei0434_webstore_00001,202602020
e,bnei0434_webstore_00002,,,bnei0434_webstore_00002,202602020
e,bnei0434_webstore_00003,,,bnei0434_webstore_00003,202602020
e,bnei0434_webstore_00004,,,bnei0434_webstore_00004,202602020
e,bnei0434_webstore_00005,,,bnei0434_webstore_00005,202602020
e,bnei0434_webstore_00006,,,bnei0434_webstore_00006,202602020
e,bnei0434_webstore_00007,,,bnei0434_webstore_00007,202602020
e,bnei0434_webstore_00008,,,bnei0434_webstore_00008,202602020
e,bnei0434_webstore_00009,,,bnei0434_webstore_00009,202602020
e,bnei0434_webstore_00010,,,bnei0434_webstore_00010,202602020
e,bnei0434_webstore_00011,,,bnei0434_webstore_00011,202602020
e,bnei0434_webstore_00012,,,bnei0434_webstore_00012,202602020
e,bnei0434_webstore_00013,,,bnei0434_webstore_00013,202602020
