ENABLE,id,product_id_ios,product_id_android,product_id_webstore,release_key
e,54,BNEI0434_0052,com.bandainamcoent.jumble_0052,,202602010
e,55,BNEI0434_0053,com.bandainamcoent.jumble_0053,,202602010
e,56,BNEI0434_0054,com.bandainamcoent.jumble_0054,,202602010
e,57,BNEI0434_0055,com.bandainamcoent.jumble_0055,,202602010
e,58,BNEI0434_0056,com.bandainamcoent.jumble_0056,,202602010
e,59,BNEI0434_0057,com.bandainamcoent.jumble_0057,,202602010
e,60,BNEI0434_0058,com.bandainamcoent.jumble_0058,,202602010
e,61,BNEI0434_0059,com.bandainamcoent.jumble_0059,,202602010
e,62,BNEI0434_0060,com.bandainamcoent.jumble_0060,,202602010
e,63,BNEI0434_0061,com.bandainamcoent.jumble_0061,,202602010
e,79,BNEI0434_0077,com.bandainamcoent.jumble_0077,,202602010
e,80,BNEI0434_0078,com.bandainamcoent.jumble_0078,,202602010
e,81,BNEI0434_0079,com.bandainamcoent.jumble_0079,,202602010
e,82,BNEI0434_0080,com.bandainamcoent.jumble_0080,,202602010
e,83,BNEI0434_0081,com.bandainamcoent.jumble_0081,,202602010
e,84,BNEI0434_0082,com.bandainamcoent.jumble_0082,,202602010
